tiempo,potencia_q
1,8.72
2,7.918
3,7.308
4,6.954
5,7.646
6,7.534
7,7.221
8,7.653
9,8.089
10,7.277
11,7.488
12,6.383
13,5.442
14,5.347
15,5.536
16,5.233
17,7.384
18,6.881
19,8.159
20,7.768
21,7.849
22,8.454
23,7.672
24,7.761
25,7.935
26,8.601
27,6.503
28,4.141
29,4.546
30,5.112
31,6.769
32,7.366
33,7.192
34,7.764
35,7.032
36,7.388
37,8.412
38,8.436
39,6.782
40,7.883
41,7.263
42,8.211
43,8.674
44,7.824
45,8.064
46,7.948
47,7.434
48,6.159
49,4.884
50,4.582
51,4.851
52,4.388
53,4.682
54,5.092
55,4.924
56,5.288
57,5.247
58,5.483
59,5.795
60,5.322
61,6.822
62,6.722
63,7.227
64,8.419
65,7.778
66,8.566
67,8.592
68,8.54
69,7.856
70,7.898
71,9.056
72,7.996
73,9.412
74,8.43
75,7.391
76,7.826
77,7.352
78,7.786
79,7.971
80,8.387
81,9.897
82,9.244
83,9.188
84,9.354
85,9.656
86,10.096
87,9.928
88,10.616
89,9.741
90,9.6235
91,9.506
92,9.796
93,9.24
94,9.332
95,9.605
96,10.699
97,10.208
98,10.814
99,9.832
100,10.237
101,9.249
102,10.977
103,9.419
104,8.761
105,8.651
106,9.069
107,9.561
108,9.224
109,7.606
110,7.455
111,7.314
112,7.997
113,10.198
114,9.609
115,10.218
116,10.031
117,9.869
118,10.074
119,9.451
120,8.89
121,10.048
122,8.056
123,6.617
124,4.865
125,6.706
126,6.988
127,6.971
128,7.492
129,6.251
130,6.197
131,6.728
132,7.303
133,7.434
134,6.61
135,6.474
136,6.812
137,6.589
138,6.1
139,6.001
140,5.87
141,6.815
142,6.529
143,7.294
144,6.632
145,5.376
146,5.91
147,5.733
148,6.117
149,10.001
150,8.28
151,8.436
152,8.258
153,8.706
154,7.568
155,8.71
156,8.151
157,8.587
158,7.542
159,8.32
160,7.513
161,7.541
162,7.629
163,8.158
164,7.396
165,7.753
166,8.513
167,8.732
168,8.313
169,8.05
170,8.37
171,6.814
172,5.342
173,5.275
174,6.074
175,6.889
176,4.763
177,6.067
178,6.843
179,7.198
180,6.602
181,6.526
182,6.643
183,6.82
184,6.879
185,7.867
186,7.604
187,8.56
188,8.627
189,7.953
190,7.221
191,8.4
192,6.835
193,7.853
194,8.553
195,9.012
196,8.7
197,8.476
198,9.056
199,9.412
200,8.88
201,7.665
202,7.852
203,8.137
204,7.785
205,6.694
206,6.679
207,6.154
208,9.701
209,7.603
210,8.634
211,9.129
212,9.082
213,9.082
214,8.7
215,9.177
216,8.414
217,9.555
218,9.109
219,7.619
220,5.189
221,6.58
222,5.946
223,5.89
224,6.976
225,6.731
226,7.091
227,6.85
228,6.527
229,6.936
230,6.985
231,6.409
232,6.92
233,6.678
234,6.584
235,6.494
236,7.103
237,7.539
238,6.377
239,6.549
240,6.273
241,4.707
242,4.438
243,4.25
244,5.157
245,6.077
246,6.788
247,3.233
248,3.309
249,3.938
250,3.509
251,3.513
252,3.874
253,5.376
254,5.877
255,6.654
256,7.857
257,8.114
258,8.047
259,8.35
260,8.252
261,9.639
262,8.655
263,8.652
264,8.742
265,9.335
266,8.626
267,7.079
268,6.438
269,6.408
270,8.085
271,6.923
272,7.661
273,8.03
274,6.757
275,8.232
276,10.559
277,8.639
278,8.895
279,8.702
280,8.611
281,9.782
282,8.788
283,9.032
284,8.392
285,8.159
286,9.327
287,8.867
288,8.618
289,9.312
290,8.918
291,9.724
292,9.629
293,9.501
294,9.391
295,9.569
296,9.502
297,8.214
298,8.31
299,8.388
300,8.069
301,7.608
302,7.067
303,8.145
304,10.319
305,9.859
306,9.98
307,9.937
308,9.273
309,9.471
310,10.013
311,9.363
312,9.315
313,9.482
314,9.882
315,7.599
316,6.091
317,5.832
318,6.159
319,7.589
320,5.849
321,6.293
322,6.111
323,7.039
324,7.074
325,6.51
326,6.746
327,7.152
328,7.35
329,5.995
330,7.012
331,6.182
332,6.307
333,6.504
334,5.701
335,5.164
336,4.249
337,2.992
338,2.861
339,2.898
340,3.287
341,4.365
342,5.475
343,3.881
344,0
345,6.118
346,7.002
347,7.183
348,7.947
349,7.595
350,6.793
351,6.641
352,7.545
353,7.308
354,6.415
355,7.286
356,7.772
357,7.648
358,8.676
359,9.458
360,8.809
361,9.013
362,8.399
363,6.393
364,5.475
365,6.344
366,6.907
367,7.728
368,7.499
369,8.349
370,7.609
371,9.231
372,8.172
373,9.219
374,9.122
375,9.454
376,9.115
377,9.35
378,8.766
379,0
380,8.04
381,9.411
382,9.596
383,9.859
384,9.738
385,9.452
386,10.445
387,9.744
388,9.13
389,9.21
390,8.472
391,9.204
392,8.788
393,7.81
394,7.728
395,8.366
396,8.437
397,7.577
398,6.264
399,6.946
400,7.46
401,7.99
402,8.771
403,9.294
404,9.06
405,8.527
406,12.326
407,9.562
408,10.05
409,9.2
410,9.473
411,6.725
412,5.243
413,5.592
414,5.086
415,5.015
416,6.776
417,7.348
418,8.442
419,8.37
420,7.802
421,8.489
422,8.613
423,9.015
424,7.955
425,7.881
426,7.989
427,7.691
428,7.841
429,8.917
430,9.067
431,8.655
432,7.214
433,5.946
434,5.967
435,5.783
436,6.095
437,7.614
438,9.443
439,6.359
440,6.181
441,6.398
442,7.219
443,6.499
444,6.964
445,8.146
446,7.647
447,8.8
448,8.113
449,8.331
450,8.776
451,8.381
452,8.761
453,8.371
454,9.059
455,8.58
456,8.468
457,8.505
458,8.316
459,7.348
460,6.168
461,8.347
462,7.069
463,8.158
464,8.865
465,9.831
466,9.45
467,10.182
468,8.927
469,8.293
470,8.575
471,8.608
472,8.899
473,8.924
474,9.003
475,8.618
476,8.358
477,8.327
478,7.986
479,8.849
480,7.882
481,8.406
482,8.702
483,8.753
484,8.828
485,8.455
486,9.461
487,8.345
488,8.248
489,8.757
490,8.46
491,8.969
492,8.851
493,8.553
494,7.729
495,7.263
496,7.759
497,7.392
498,8.814
499,8.986
500,9.459
501,9.122
502,8.867
503,9.334
504,8.939
505,9.121
506,9.048
507,6.811
508,5.527
509,4.329
510,4.922
511,5.676
512,6.675
513,7.72
514,7.492
515,8.098
516,7.841
517,7.783
518,8.195
